时间,负荷值
2026-01-01 00:00:00,0.00
2026-01-01 01:00:00,0.00
2026-01-01 02:00:00,0.00
2026-01-01 03:00:00,0.00
2026-01-01 04:00:00,0.00
2026-01-01 05:00:00,0.00
2026-01-01 06:00:00,35.00
2026-01-01 07:00:00,140.00
2026-01-01 08:00:00,320.00
2026-01-01 09:00:00,520.00
2026-01-01 10:00:00,690.00
2026-01-01 11:00:00,810.00
2026-01-01 12:00:00,860.00
2026-01-01 13:00:00,830.00
2026-01-01 14:00:00,720.00
2026-01-01 15:00:00,560.00
2026-01-01 16:00:00,370.00
2026-01-01 17:00:00,180.00
2026-01-01 18:00:00,55.00
2026-01-01 19:00:00,0.00
2026-01-01 20:00:00,0.00
2026-01-01 21:00:00,0.00
2026-01-01 22:00:00,0.00
2026-01-01 23:00:00,0.00
