时间,负荷值
2026-01-01 00:00:00,620.00
2026-01-01 01:00:00,590.00
2026-01-01 02:00:00,565.00
2026-01-01 03:00:00,550.00
2026-01-01 04:00:00,570.00
2026-01-01 05:00:00,640.00
2026-01-01 06:00:00,780.00
2026-01-01 07:00:00,920.00
2026-01-01 08:00:00,980.00
2026-01-01 09:00:00,940.00
2026-01-01 10:00:00,900.00
2026-01-01 11:00:00,870.00
2026-01-01 12:00:00,840.00
2026-01-01 13:00:00,810.00
2026-01-01 14:00:00,790.00
2026-01-01 15:00:00,820.00
2026-01-01 16:00:00,890.00
2026-01-01 17:00:00,1010.00
2026-01-01 18:00:00,1140.00
2026-01-01 19:00:00,1220.00
2026-01-01 20:00:00,1180.00
2026-01-01 21:00:00,1040.00
2026-01-01 22:00:00,880.00
2026-01-01 23:00:00,720.00
