时间,负荷值
2026-01-01 00:00:00,1.82
2026-01-01 01:00:00,1.80
2026-01-01 02:00:00,1.78
2026-01-01 03:00:00,1.76
2026-01-01 04:00:00,1.75
2026-01-01 05:00:00,1.77
2026-01-01 06:00:00,1.82
2026-01-01 07:00:00,1.88
2026-01-01 08:00:00,1.94
2026-01-01 09:00:00,1.98
2026-01-01 10:00:00,2.02
2026-01-01 11:00:00,2.04
2026-01-01 12:00:00,2.05
2026-01-01 13:00:00,2.03
2026-01-01 14:00:00,2.00
2026-01-01 15:00:00,1.96
2026-01-01 16:00:00,1.92
2026-01-01 17:00:00,1.90
2026-01-01 18:00:00,1.93
2026-01-01 19:00:00,1.97
2026-01-01 20:00:00,1.95
2026-01-01 21:00:00,1.90
2026-01-01 22:00:00,1.86
2026-01-01 23:00:00,1.84
